Brand,Model,Year,Price,Mileage,Exterior Color,Interior Color,Fuel Type,Drivetrain,VIN,Dealer Name,Dealer Zip,Bodystyle,Image Paths
Toyota,Camry,2014,9990,165671,Blizzard Pearl,Black,Gasoline,Front-wheel Drive,4T1BF1FK2EU402586,DCH Wappingers Falls Toyota,12590,Sedan,"['vehicle_images_more\\e3e21225-f63d-408f-b54a-8da938a23fd3_1.jpg', 'vehicle_images_more\\e3e21225-f63d-408f-b54a-8da938a23fd3_2.jpg', 'vehicle_images_more\\e3e21225-f63d-408f-b54a-8da938a23fd3_3.jpg']"
Toyota,C-HR,2020,20995,23797,Blizzard Pearl,Black,Gasoline,Front-wheel Drive,JTNKHMBX1L1091101,Highline Car Connection,06708,SUV,"['vehicle_images_more\\d4ffbfd9-c335-4350-b790-41d7e6d8bef0_1.jpg', 'vehicle_images_more\\d4ffbfd9-c335-4350-b790-41d7e6d8bef0_2.jpg', 'vehicle_images_more\\d4ffbfd9-c335-4350-b790-41d7e6d8bef0_3.jpg']"
Toyota,4Runner,2018,28496,104935,Super White,Sand Beige,Gasoline,Four-wheel Drive,JTEBU5JR4J5515350,McGee GMC,01507,SUV,"['vehicle_images_more\\ffd89a73-6607-43b6-ba8c-294b4d58d2d6_1.jpg', 'vehicle_images_more\\ffd89a73-6607-43b6-ba8c-294b4d58d2d6_2.jpg', 'vehicle_images_more\\ffd89a73-6607-43b6-ba8c-294b4d58d2d6_3.jpg']"
Toyota,Camry Hybrid,2015,18995,73393,Blizzard Pearl,Ash,Hybrid,Front-wheel Drive,4T1BD1FK4FU156678,J & M Automotive,06770,Sedan,"['vehicle_images_more\\84c0a593-03c5-4318-b6b5-b70806c3b3d1_1.jpg', 'vehicle_images_more\\84c0a593-03c5-4318-b6b5-b70806c3b3d1_2.jpg', 'vehicle_images_more\\84c0a593-03c5-4318-b6b5-b70806c3b3d1_3.jpg']"
Toyota,Sienna,2011,15999,101144,Gray,,Gasoline,Front-wheel Drive,5TDYK3DC1BS039666,RT 3 Auto Mall,06457,Passenger Van,"['vehicle_images_more\\96361b1b-e45a-4c56-87b5-86f74c75cf89_1.jpg', 'vehicle_images_more\\96361b1b-e45a-4c56-87b5-86f74c75cf89_2.jpg', 'vehicle_images_more\\96361b1b-e45a-4c56-87b5-86f74c75cf89_3.jpg']"
Toyota,Highlander,2015,17990,132408,Silver,Almond,Gasoline,All-wheel Drive,5TDJKRFH6FS145534,Ron Bouchard Chrysler Dodge RAM,01420,SUV,"['vehicle_images_more\\342bb519-107e-4faf-bed6-97881e290bde_1.jpg', 'vehicle_images_more\\342bb519-107e-4faf-bed6-97881e290bde_2.jpg', 'vehicle_images_more\\342bb519-107e-4faf-bed6-97881e290bde_3.jpg']"
Toyota,RAV4,2018,21256,60361,Black,Black - EA20,Gasoline,All-wheel Drive,2T3DFREV4JW819826,Brewster Subaru,10509,SUV,"['vehicle_images_more\\f1b0ea46-7653-4844-a988-f0eab7e0cbbc_1.jpg', 'vehicle_images_more\\f1b0ea46-7653-4844-a988-f0eab7e0cbbc_2.jpg', 'vehicle_images_more\\f1b0ea46-7653-4844-a988-f0eab7e0cbbc_3.jpg']"
Toyota,RAV4,2010,10425,127433,White,,Gasoline,Four-wheel Drive,2T3BF4DV4AW073423,Smart Buy Auto Sales of Meriden,06450,SUV,"['vehicle_images_more\\b272d7ca-4b57-4ad5-98de-b0baf0a62a5c_1.jpg', 'vehicle_images_more\\b272d7ca-4b57-4ad5-98de-b0baf0a62a5c_2.jpg', 'vehicle_images_more\\b272d7ca-4b57-4ad5-98de-b0baf0a62a5c_3.jpg']"
Toyota,Prius c,2014,7500,145645,Black Sand Pearl,Light Blue Gray/Black,Gasoline,Front-wheel Drive,JTDKDTB34E1566265,Romeo Toyota of Glens Falls,12801,Hatchback,"['vehicle_images_more\\cc4996c2-618b-46cd-9ce9-6b551d5ab832_1.jpg', 'vehicle_images_more\\cc4996c2-618b-46cd-9ce9-6b551d5ab832_2.jpg', 'vehicle_images_more\\cc4996c2-618b-46cd-9ce9-6b551d5ab832_3.jpg']"
Toyota,RAV4,2014,15369,110402,White,,Gasoline,All-wheel Drive,2T3DFREV0EW133661,Brattleboro Subaru,05301,SUV,"['vehicle_images_more\\ef116e23-f41d-4652-b6c8-0db4b9f9dc99_1.jpg', 'vehicle_images_more\\ef116e23-f41d-4652-b6c8-0db4b9f9dc99_2.jpg', 'vehicle_images_more\\ef116e23-f41d-4652-b6c8-0db4b9f9dc99_3.jpg']"
Toyota,RAV4,2011,8300,160190,Magnetic Gray Metallic,Dark Charcoal,Gasoline,Four-wheel Drive,JTMRK4DV4B5102602,Adam Auto Sales,01040,SUV,"['vehicle_images_more\\ae0e7adc-617e-43de-8e97-721c8d042f73_1.jpg', 'vehicle_images_more\\ae0e7adc-617e-43de-8e97-721c8d042f73_2.jpg', 'vehicle_images_more\\ae0e7adc-617e-43de-8e97-721c8d042f73_3.jpg']"
Toyota,RAV4,2019,21254,83022,Silver Sky Metallic,Black,Gasoline,All-wheel Drive,2T3F1RFV7KC012337,Balise Toyota,01089,SUV,"['vehicle_images_more\\7f57c06a-36d9-45ab-9c77-4a00db52d5a6_1.jpg', 'vehicle_images_more\\7f57c06a-36d9-45ab-9c77-4a00db52d5a6_2.jpg', 'vehicle_images_more\\7f57c06a-36d9-45ab-9c77-4a00db52d5a6_3.jpg']"
Toyota,RAV4,2020,27000,23837,Gray,Black,Gasoline,All-wheel Drive,JTMF1RFV3LD053514,Aldermans Toyota,05701,SUV,"['vehicle_images_more\\e55d19db-2efc-46d9-b5ea-15f81bfd01ab_1.jpg', 'vehicle_images_more\\e55d19db-2efc-46d9-b5ea-15f81bfd01ab_2.jpg', 'vehicle_images_more\\e55d19db-2efc-46d9-b5ea-15f81bfd01ab_3.jpg']"
Toyota,Camry,2019,27583,29158,Predawn Gray Mica,,Gasoline,Front-wheel Drive,4T1BZ1HK3KU507766,Walier Chevrolet,03431,Sedan,"['vehicle_images_more\\865b19b5-b5c2-404a-b15e-2a5206d97602_1.jpg', 'vehicle_images_more\\865b19b5-b5c2-404a-b15e-2a5206d97602_2.jpg', 'vehicle_images_more\\865b19b5-b5c2-404a-b15e-2a5206d97602_3.jpg']"
